Councilperson,DocType,Payee,EntityAddressLine1,Payee Address,Date, Amount ,Description,Category,
Jones,CFR - Schedule III - Statement of Expenditures,KAREN LEWIS,1212 BROOKVIEW PLACE,1212 BROOKVIEW PLACE  ELKINS PARK PA 19027,12/3/2008,$43.00 ,REIMBUSED PARKING,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,City of Philadelphia,P O Box 41818,P O Box 41818  Philadelphia PA 191011818,4/28/2008,$31.00 ,Parking Ticket,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CITY OF PHILADELPHIA,P O BOX 41818,P O BOX 41818  PHILADELPHIA PA 191011818,5/20/2008,$26.00 ,PARKING TICKET #517912101,Transportation & Travel,
Blackwell,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,913 FILBERT STREET,913 FILBERT STREET  PHILA PA 19102,10/6/2008,$76.00 ,PARKING VIOLATION,Transportation & Travel,
Blackwell,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,913 FILBERT ST,913 FILBERT ST  PHILA PA 19107,10/21/2008,$71.00 ,PARKING VIOLATION,Transportation & Travel,
Blackwell,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,913 FILBERT STREET,913 FILBERT STREET  PHILA PA 19104,8/19/2008,$61.00 ,PARKING VIOLATION,Transportation & Travel,
Blackwell,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,,  PHILA PA ,6/12/2008,$76.00 ,TICKET,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,P O BOX 41818,P O BOX 41818  PHLIA PA 19101,1/29/2008,$71.00 ,TICKETS # 509608246,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,P O BOX 41818,P O BOX 41818  PHILA PA 19101,1/29/2008,$51.00 ,TICKET # 507330058,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,PO BOX 41818,PO BOX 41818  PHILA PA 19101,5/29/2008,$31.00 ,CITATION,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,CITY OF PHILA,PO BOX 41818,PO BOX 41818  PHILA PA 19101,12/4/2008,$31.00 ,CITATION,Transportation & Travel,
O'Neill,CFR - Schedule III - Statement of Expenditures,AAA Mid-Atlantic,One River Place,One River Place  Wilmington DE 19801,1/24/2008,$99.50 ,Membership,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,8/19/2008,$42.75 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,12/9/2008,$39.61 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,3/25/2008,$37.60 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,4/9/2008,$27.72 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,4/14/2008,$12.96 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,1/4/2008,$11.10 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Philly Taxi Verifone,information unavailable,information unavailable    ,3/25/2008,$10.50 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,NYC -Taxi Long Island,information unavailable,information unavailable    ,12/10/2008,$39.39 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,NYC -Taxi Long Island,information unavailable,information unavailable    ,12/18/2008,$36.91 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,NYC -Taxi Long Island,information unavailable,information unavailable    ,12/14/2008,$28.92 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,MTA,347 Madison Ave,347 Madison Ave  New York NY 100173706,12/12/2008,$7.00 ,transportation - PA Society,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,MARTA,2424 Piedmont Rd NE,2424 Piedmont Rd NE  Atlanta GA 303243311,9/24/2008,$12.50 ,transportation at Leadership Exchange,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,MARTA,2424 Piedmont Rd NE,2424 Piedmont Rd NE  Atlanta GA 303243311,9/26/2008,$2.25 ,transportation at Leadership Exchange,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Bolt Bus,PO Box 660362,PO Box 660362  Dallas TX 752660362,12/10/2008,$72.50 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Amtrak,2955 Market St,2955 Market St  Philadelphia PA 191042835,12/14/2008,$220.00 ,transportation - PA Society,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Amtrak,2955 Market St,2955 Market St  Philadelphia PA 191042835,12/11/2008,$154.00 ,transportation - PA Society,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Amtrak,2955 Market St,2955 Market St  Philadelphia PA 191042835,12/11/2008,$14.25 ,transportation - PA Society,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,AirTran Airways,1800 Phoenix Blvd,1800 Phoenix Blvd Ste 126 Atlanta GA 303495547,9/22/2008,$454.00 ,transportation for Leadership Exchange,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,AirTran Airways,1800 Phoenix Blvd,1800 Phoenix Blvd Ste 126 Atlanta GA 303495547,11/16/2008,$242.00 ,transportation,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,AirTran Airways,1800 Phoenix Blvd,1800 Phoenix Blvd Ste 126 Atlanta GA 303495547,9/24/2008,$49.00 ,transportation for Leadership Exchange,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,AirTran Airways,1800 Phoenix Blvd,1800 Phoenix Blvd Ste 126 Atlanta GA 303495547,9/27/2008,$49.00 ,transportation for Leadership Exchange,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,W New York Hotel?,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,11/11/2008,"$1,523.96 ",Lodging,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,W New York Hotel,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,11/11/2008,"$1,523.96 ",Lodging,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,W New York Hotel,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,12/15/2008,$157.72 ,lodging,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,W New York Hotel,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,12/15/2008,$21.18 ,lodging,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,W Atlanta - Midtown,188 14th St NE,188 14th St NE  Atlanta GA 303612003,9/27/2008,$118.15 ,lodging for Leadership Exchange,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,"TULPEHOCKEN APTS, INC",6142 WAYNE AVENUE,6142 WAYNE AVENUE  PHILADELPHIA PA 19144,3/6/2008,$167.00 ,1 TICKET TRIP TO NY,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Southwest Airlines,P.O. Box 36647,P.O. Box 36647  Dallas TX 75235,6/19/2008,$680.00 ,2008 Activities,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Racquet Club Of Philadelphia,215 S 16th St,215 S 16th St  Philadelphia PA 191023349,5/29/2008,$642.00 ,lodging,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Odyssey Media,2655 N. Ocean Dr,2655 N. Ocean Dr Suite 403 Singer Island FL 334,4/11/2008,"$1,500.00 ",Bus.Conf. Deposit,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ODYSSEY MEDIA,2655 N OCEAN DR,2655 N OCEAN DR  SINGER ISLAND FL 34340,6/25/2008,$700.00 ,NETWORK CONFERENCE,Transportation & Travel,
Brown,CFR - Schedule III - Statement of Expenditures,NORTHWEST AIRLINES,,,7/23/2008,$704.36 ,AIRFARE/DENVER,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Marriott Hotel,4900 South Syracuse,4900 South Syracuse  Denver CO 80237,9/2/2008,"$1,105.94 ",2008 Activities,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Marriott Hotel,4900 South Syracuse,4900 South Syracuse  Denver CO 80237,9/10/2008,$87.35 ,2008 Activities,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Marriott Hotel,4900 South Syracuse,4900 South Syracuse  Denver CO 80237,8/27/2008,$44.00 ,2008 Activities,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Marian B. Tasco,1000 E Vernon Road,1000 E Vernon Road  Philadelphia PA 19150,5/7/2008,$100.00 ,Travel Expense,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,MARIAN B TASCO,1000 E VERNON RD,1000 E VERNON RD  PHILA PA 19150,7/22/2008,$150.00 ,TRAVEL,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Hotel Hershey,100 Hotel Rd,100 Hotel Rd  Hershey PA 170339507,4/28/2008,$274.58 ,lodging for conference,Transportation & Travel,
Green,CFR - Schedule III - Statement of Expenditures,Hotel Hershey,100 Hotel Rd,100 Hotel Rd  Hershey PA 170339507,3/8/2008,$220.89 ,lodging for conference,Transportation & Travel,
Sanchez,CFR - Schedule III - Statement of Expenditures,Garcia's,5050 S. Syracuse St.,5050 S. Syracuse St.  Denver CO 80237,9/2/2008,$46.00 ,2008 Activities,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,3/7/2008,$500.00 ,TRAVEL EXPENSES FOR MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNNON RD,1409 E VERNNON RD  PHILA PA 19150,5/28/2008,$200.00 ,EXPENSE FOR CONFERENCE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON RD,1409 E VERNON RD  PHILA PA 19150,6/23/2008,$100.00 ,TRAVEL,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Eric White,1409 E. Vernon Rd,1409 E. Vernon Rd  Phila PA 19150,2/14/2008,$62.00 ,Travel Expenses,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON RD,1409 E VERNON RD  PHILA PA 19150,9/22/2008,$60.00 ,TRAVEL EXPENSES,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 VERNON RD,1409 VERNON RD  PHILA PA 19150,11/20/2008,$60.00 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,3/6/2008,$55.00 ,TRAVEL EXPENSE OFR MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Eric White,1409 E. Vernon Road,1409 E. Vernon Road  Philadelphia PA 19150,5/12/2008,$51.00 ,Travel Expense for MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,3/10/2008,$50.00 ,TRAVEL EXPENSE FOR MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,3/26/2008,$50.00 ,TRAVEL EXPENSES FOR MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,4/2/2008,$50.00 ,TRAVEL EXPENSE FOR MBT,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,Eric White,1409 E Vernon Rd,1409 E Vernon Rd  Phila PA 19150,4/15/2008,$50.00 ,Travel,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON RD,1409 E VERNON RD  PHILA PA ,6/9/2008,$50.00 ,TRAVEL EXPENSE,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON RD,1409 E VERNON RD  PHILA PA 19150,7/28/2008,$50.00 ,TRAVEL,Transportation & Travel,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 VERNON RD,1409 VERNON RD  PHILA PA 19150,10/22/2008,$50.00 ,TRAVEL EXPENSE,Transportation & Travel,
